family,segment,service_orders,tail_orders,tail_rate,tail_cutoff_min,tail_dates,tail_mean_min,tail_recorded_cost,t_created_to_notify_min,t_notify_to_accept_min,t_accept_to_pu_arrival_min,t_wait_at_pu_min,t_last_mile_min
vertical,fruits_and_vegetables,522,11,0.0210727969348659,49.53333333333333,9,54.13636363636365,10654.824535714146,30.295450686363633,0.3184048984848485,4.971785966666666,3.6978193893939393,14.86222389090909
vertical,gourmet,438,12,0.0273972602739726,49.53333333333333,10,58.1236111111111,7218.652826783429,30.00801619166667,0.30590804166666663,5.8618185416666675,7.445336056944445,14.51256436527778
vertical,hardware,34,1,0.029411764705882353,49.53333333333333,1,69.13333333333334,1080.7999999999995,36.858906133333335,0.048207183333333334,2.056973033333333,5.195884683333333,24.9744611
vertical,hypermarket,4221,836,0.1980573323856906,49.53333333333333,31,60.934649122807016,483712.059344634,34.0899958215311,0.26443622820972884,4.438313570952951,9.205473570614036,12.944956210645932
vertical,kiosks,10934,171,0.01563929028717761,49.53333333333333,29,65.33187134502926,188365.17221964087,44.637069126120856,0.27824919727095515,5.180881077192983,2.996727522904483,12.246880860136454
vertical,nuts_and_dried_fruits,436,11,0.02522935779816514,49.53333333333333,8,57.625757575757575,8175.341117856998,32.73233812878788,0.32366044696969704,6.740998415151515,3.1985106303030304,14.641007795454549
vertical,pasta_shop,1327,20,0.015071590052750565,49.53333333333333,15,65.50666666666667,15166.416192861143,39.79257425416667,0.25729036999999993,4.031350306666667,8.142051471666665,13.291030174166668
vertical,pets,1003,31,0.03090727816550349,49.53333333333333,18,61.291397849462356,25354.24689999914,33.888560731720425,0.32640763333333334,5.55757510376344,4.396298029032258,17.130303488709675
vertical,pharmacies,3124,63,0.020166453265044813,49.53333333333333,25,60.88359788359788,44237.52035357456,37.07753832513228,0.34335931904761907,5.0934981465608455,3.594694823015873,14.783552315608466
vertical,restaurants,280432,14351,0.05117461630627033,49.53333333333333,32,62.5655773116856,12300232.989525046,40.26641200311476,0.2490388940004181,4.011824770199522,7.5249295035886,10.521732359966785
vertical,stationery_and_books,52,2,0.038461538461538464,49.53333333333333,2,62.983333333333334,1051.9057142857146,41.590108224999994,0.5313403333333333,6.306239458333334,1.9795485916666666,12.583437024999998
vertical,supermarket,905,47,0.051933701657458566,49.53333333333333,23,59.87304964539007,31889.550310718143,30.389040017021284,0.3122247684397163,5.411133471631205,7.945596372695036,15.823271522695036
_distance_band,0.5-1km,89929,2291,0.0254756530151564,49.53333333333333,31,60.80257529463117,1514492.8664964517,40.78758880756584,0.25331533069256507,3.7628433973519564,9.41546334816674,6.591712781201804
_distance_band,1-2km,114159,5698,0.04991284086230608,49.53333333333333,32,62.180197730197726,4451778.000178538,40.84558618616766,0.2530379955803206,3.8923418046653797,7.928991273031473,9.268616454656604
_distance_band,2-3km,45635,4242,0.09295496877396735,49.53333333333333,32,63.57391953481062,3915998.540173242,40.03608338757268,0.24526144061370422,4.113336639246425,6.512110718980828,12.675470674068835
_distance_band,<=0.5km,57212,809,0.014140390127945187,49.53333333333333,32,59.752513391017715,461944.80715002085,40.32596429233622,0.25943942820354343,3.5553795316234034,11.64207150589205,3.977967639987639
_distance_band,>3km,25443,3566,0.14015642809417128,49.53333333333333,32,64.64000280426248,3975048.2372267935,37.148956649023184,0.262225534604599,4.812716054440082,5.389171396742382,17.035327064222283
demand_band,High,234060,12589,0.0537853541826882,49.53333333333333,31,62.333073847538856,10999606.562891062,39.83743288773797,0.24868627422088063,3.8907880943535362,7.678545677730558,10.685993347573277
demand_band,Low,8616,357,0.041434540389972144,49.53333333333333,32,66.36185807656395,314229.2141303626,42.91314221956116,0.26584185957049483,6.1389976813725475,6.481326801960783,10.570955448552754
